	1-MS515F	2-MS515F	3-MS515F	38-MS515F	4-MS515F	40-MS515F	41-MS515F	42-MS515F	44-MS515F	46-MS515F	47-MS515F	48-MS515F	5-MS515F	50-MS515F	52-MS515F	53-MS515F	54-MS515F	56-MS515F	58-MS515F	59-MS515F	60-MS515F	62-MS515F	64-MS515F	65-MS515F	66-MS515F
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Paludibacter ; Paludibacter sp	0.332602226272	0.3774080665	0.0748048062088	0.0878459687124	0.295296350981	0.0705945203389	0.21557901033	0.0636537237428	0.0978715411308	0.103986665239	0.202387130254	0.0439895101937	0	0.011661203177	0.0105473094772	0.0314047590289	0.00899968501102	0.0702165008777	0.0656520441659	0.254922929021	0.0588187016114	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Parabacteroides ; Parabacteroides distasonis	0.0895863581601	0.33918952812	0.219739118238	0.0613718411552	0.330890107572	0.0286194001374	0.152026816534	0.0274868352526	0.265933783477	0.16209686052	0.475696246324	0.0981304458168	0.0978404208556	0.17103097993	0.34039044222	0.272979828482	0.23286684966	0.117027501463	0.119367353029	0.459077308619	0.0943834979345	0.0325158728801	0.0890454329587	0.0364400840925	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Parabacteroides ; Parabacteroides merdae	0.0741404343394	0.0991293339225	0.419218601462	0.121540312876	0.348027842227	0.047699000229	0.233024710588	0.0896938834558	0.0998487439819	0.125395684553	0.16606123508	0.0253785635733	0.0297775193908	0.419803314373	0.260806197983	0.31767121633	0.254241101561	0.112151355569	0.185019397195	0.30353111464	0.103958635406	0.0136908938442	0.0158302991927	0.0280308339173	0.011616762989
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Tannerella ; Tannerella sp	0	0.00238865864874	0	0.0156438026474	0	0	0.013707335917	0.00723337769805	0.0128518185323	0	0.0242172634492	0.00676761695288	0	0	0	0	0	0.00487614589429	0	0.0194432742474	0.00273575356332	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Prevotellaceae ; Prevotella ; Prevotella bivia	0	0	0	0.00240673886883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Prevotellaceae ; Prevotella ; Prevotella copri	1.70625971806	0	0	4.42358604091	0.00263657456233	0.244218881172	2.95081558649	6.33209883687	0.00395440570225	0.0183505879834	0.00691921812835	0	29.4130992726	0	0	0.0120787534726	0.00337488187913	0.00195045835771	0.161145926589	0.00216036380526	0	33.6830215803	1.10020579389	29.442186405	19.6729881219
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Prevotellaceae ; Prevotella ; Prevotella corporis	0	0	0	0.00240673886883	0	0	0.00249224289399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Prevotellaceae ; Prevotella ; Prevotella sp	0.128716031839	0	0	0.223826714801	0	0.0248034801191	0.209348403095	0.243041490654	0	0	0.00172980453209	0	1.47044226706	0	0	0	0.00112496062638	0.000975229178857	0	0	0	0.618657265586	0.292860535064	1.25858444289	0.673772253362
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Rikenellaceae ; Alistipes ; Alistipes finegoldii	0.0483972279715	0.200647326494	0.0483114373432	0.0505415162455	1.21414258595	0.00381592001832	0.0660444366908	0.0303801863318	0.114677765365	0.00458764699586	0.233523611832	0.0558328398613	0.0155977482523	0.0388706772568	0.00191769263222	0.0712646454886	0.0269990550331	0.44372927638	0.0238734706058	1.353467924	0.180559735179	0.000855680865264	0.00395757479816	0.00981079187106	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Rikenellaceae ; Alistipes ; Alistipes indistinctus	0.0422188584433	0	0	0.028880866426	0	0	0.0697828010318	0.0144667553961	0.00197720285113	0	0	0	0	0	0.00287653894834	0	0	0	0	0	0	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Rikenellaceae ; Alistipes ; Alistipes inops	0	0	0	0	0.00922801096815	0	0	0	0	0	0	0	0	0	0	0	0	0.00195045835771	0	0.0140423647342	0	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Rikenellaceae ; Alistipes ; Alistipes massiliensis	0.0113270108018	0	0	0.0108303249097	0.00263657456233	0	0.0224301860459	0.00434002661883	0	0	0	0	0	0	0	0	0	0.00292568753657	0	0.00648109141579	0.00136787678166	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Rikenellaceae ; Alistipes ; Alistipes obesi	0.007208097783	0.0143319518924	0.0327271027163	0.00120336943442	0.0316388947479	0	0.00747672868198	0	0	0	0.0121086317246	0	0.0028359542277	0.0194353386284	0.00191769263222	0.0289890083343	0.0191243306484	0.00877706260971	0	0.0410469123	0.0109430142533	0.00171136173053	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Rikenellaceae ; Alistipes ; Alistipes onderdonkii	0.00308918476414	0.022692257163	0.00155843346268	0	0.00131828728116	0	0.00249224289399	0.00144667553961	0.0108746156812	0.00152921566529	0.0207576543851	0.0186109466204	0	0.00259137848378	0	0.00120787534726	0.00112496062638	0.000975229178857	0	0	0	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Rikenellaceae ; Alistipes ; Alistipes shahii	0	0	0.00155843346268	0	0	0	0	0	0	0	0	0	0	0	0.000958846316112	0.00120787534726	0	0	0	0.00216036380526	0.00136787678166	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Rikenellaceae ; Alistipes ; Alistipes sp	0.325394128489	0.348744162715	0.0670126388954	0.173285198556	0.287386627294	0.0190796000916	0.306545875961	0.085353856837	0.109734758238	0.0229382349793	0.295796574987	0.0456814144319	0.00141797711385	0.0349836095311	0.00479423158056	0.250030196884	0.0584979525717	0.0643651258046	0.0298418382572	0.480680946671	0.0424041802314	0.000855680865264	0.00197878739908	0.0042046250876	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Rikenellaceae ; Alistipes ; Candidatus Alistipes marseilloanorexicus	0.00102972825471	0.00836030527058	0.00467530038805	0	0	0	0.001246121447	0	0.000988601425563	0	0	0.00507571271466	0	0	0.00287653894834	0.00362362604179	0	0	0	0.00108018190263	0	0	0	0.00280308339173	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Unclassified ; Unclassified ; Unclassified	0	0.0895746993276	0	0	0	0	0	0	0.0553616798315	0.0137629409876	0.39785504238	0.0287623720497	0.0779887412617	0	0	0.00120787534726	0.00112496062638	0	0	0	0	0.0547635753769	0.0217666613899	0.0896986685354	0.121976011384
Bacteria ; Firmicutes ; Bacilli ; Bacillales ; Bacillaceae ; Bacillus ; Bacillus sp	0.00205945650943	0	0	0	0	0	0.00623060723498	0	0.00395440570225	0	0.00345960906418	0	0	0	0	0.00603937673632	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Bacilli ; Bacillales ; Unclassified ; Dehalobacterium ; Dehalobacterium sp	0	0.00119432932437	0	0	0	0	0.00498448578798	0.00289335107922	0	0.00152921566529	0	0	0	0.00259137848378	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Bacilli ; Bacillales ; Unclassified ; Gemella ; Gemella sp	0.007208097783	0.0035829879731	0.0124674677015	0	0.00790972368699	0	0	0	0	0	0.00345960906418	0	0.0085078626831	0	0	0.00724725208358	0	0	0	0	0	0	0	0.00280308339173	0
Bacteria ; Firmicutes ; Bacilli ; Lactobacillales ; Enterococcaceae ; Enterococcus ; Enterococcus casseliflavus	0	0	0	0.00240673886883	0	0	0	0	0	0	0	0	0	0	0	0	0.00224992125276	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Bacilli ; Lactobacillales ; Enterococcaceae ; Enterococcus ; Enterococcus faecalis	0.00308918476414	0.00238865864874	0.00155843346268	0.00240673886883	0.0118645855305	0	0	0	0.015817622809	0.00305843133057	0.00345960906418	0.00507571271466	0.0028359542277	4.40923049016	0.00671192421279	0.00966300277811	0.00337488187913	0.0195045835771	0.0417785735601	0.0183630923448	0.00273575356332	0.00256704259579	0.00593636219725	0.0042046250876	0
Bacteria ; Firmicutes ; Bacilli ; Lactobacillales ; Enterococcaceae ; Enterococcus ; Enterococcus faecium	0	0	0	0	0	0	0	0	0.000988601425563	0	0	0	0	0.0777413545135	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Bacilli ; Lactobacillales ; Lactobacillaceae ; Lactobacillus ; Lactobacillus casei	0.254342878914	0	0	0.199759326113	0.00131828728116	0.118293520568	0.168226395344	0.085353856837	0	0	0	0	0	0	0	0	0	0.00195045835771	0	0	0	0.0402170006674	0	0.00280308339173	0
Bacteria ; Firmicutes ; Bacilli ; Lactobacillales ; Lactobacillaceae ; Lactobacillus ; Lactobacillus delbrueckii	0	0	0	0	0	0	0	0	0	0	0	0	0	3.55148421203	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Bacilli ; Lactobacillales ; Lactobacillaceae ; Lactobacillus ; Lactobacillus fermentum	0	0	0	0.00361010830325	0	0	0	0	0	0	0	0	0	0	0	0	0.00224992125276	0	0	0	0	6.69484708983	0.00395757479816	0.116327960757	0
