#NAME,1-MS515F,2-MS515F,3-MS515F,38-MS515F,4-MS515F,40-MS515F,41-MS515F,42-MS515F,44-MS515F,46-MS515F,47-MS515F,48-MS515F,5-MS515F,50-MS515F,52-MS515F,53-MS515F,54-MS515F,56-MS515F,58-MS515F,59-MS515F,60-MS515F,62-MS515F,64-MS515F,65-MS515F,66-MS515F
#CLASS,CN,CN,CN,FOS,CN,T1,T2,T3,FOS,T1,T2,T3,CN,FOS,T1,T2,T3,FOS,T1,T2,T3,FOS,T1,T2,T3
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Coprobacter ; Coprobacter fastidiosus,0.002051768983757324,0.0,0.0,0.004624016519800838,0.0,0.0,0.011234039612422902,0.002941702701938445,0.0,0.0,0.007862853363456474,0.0,0.0,0.0,0.0,0.004569673856338155,0.0,0.0,0.0,0.002021207419045171,0.00261734495714403,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Coprobacter ; Coprobacter secundus,0.0,0.004431596576655097,0.0,0.0,0.0,0.0,0.006241133117992689,0.0014708513509692225,0.004332917426870596,0.0,0.009435424036122315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Odoribacter ; Odoribacter splanchnicus,0.039753024060217204,0.12602352764811622,0.05742866741513674,0.023120082599028202,0.08437869588872585,0.0,0.05773048134149247,0.012869949321018825,0.05416146783588244,0.007168552865540945,0.18084562735938983,0.008044771810508517,0.037517348069858424,0.05179687306014624,0.0,0.12995010028948034,0.015119212827128024,0.04149675457888297,0.0,0.20212074190475102,0.022901768374962425,0.009246591274081749,0.008758327698155948,0.028526949884907837,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Paludibacter ; Paludibacter sp,0.5522678181264439,0.5834935492593868,0.12251449048562506,0.14064716914381806,0.4666871081254273,0.13772795851529931,0.35990534313706424,0.10786243240434187,0.14298627508667708,0.21664959771309852,0.30665128117435403,0.06972135569104213,0.0,0.018835226567296536,0.021318471648465113,0.049504800110345776,0.01240550796072679,0.10214585742499863,0.12899757989993485,0.39750412574604926,0.09378819429769297,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Parabacteroides ; Parabacteroides distasonis,0.06375139342381356,0.2247452549586919,0.15423699248612158,0.042111579019551294,0.22411695945022858,0.02392956808181554,0.10877403434250746,0.019961554048875285,0.1665078268327764,0.14473649595152904,0.30889781070708877,0.06665668071566917,0.07396277190911166,0.11839285270918257,0.2948593805935096,0.18441898063086412,0.13756822220726114,0.0729613267322458,0.10051759472729853,0.3067904118201917,0.06449885787245055,0.022309236089883097,0.07507138026986597,0.02648931060746894,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Parabacteroides ; Parabacteroides merdae,0.061553069512653304,0.07662969080465913,0.34329581188174535,0.0972970142706752,0.27501204585914707,0.04652971571464132,0.19451531551056178,0.07599398646672621,0.07293744335227494,0.1306269633271072,0.12580565381496422,0.020111929526271295,0.026262143648856793,0.33903407821214526,0.26357383129145545,0.25038004671131364,0.1752277999450488,0.08157481669390362,0.18176931713191394,0.23664970198062837,0.08288259030943339,0.010958922991479391,0.015570360352310027,0.0237724582374656,0.009508955117039055
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Tannerella ; Tannerella sp,0.0,0.0055394957208304675,0.0,0.03757013422331576,0.0,0.0,0.03432623214906998,0.01838564188711528,0.028163963274588748,0.0,0.055039973544122586,0.016089543621017034,0.0,0.0,0.0,0.0,0.0,0.010640193481782209,0.0,0.045477166928656686,0.006543362392860076,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Prevotellaceae ; Prevotella ; Prevotella bivia,0.0,0.0,0.0,0.002732870283564557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Prevotellaceae ; Prevotella ; Prevotella copri,1.4165755025334987,0.0,0.0,3.541225984740486,0.002083424589845375,0.2382321444584954,2.463167203904013,5.364930302657723,0.002888611617909347,0.019116140974734182,0.005241902242302801,0.0,25.940745033777443,0.0,0.0,0.009520153867331748,0.0023260327426345502,0.0014186924642332636,0.15831521169534782,0.001684339515870976,0.0,26.961690289872777,1.0821400444829403,24.969401509691416,16.103415490728974
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Prevotellaceae ; Prevotella ; Prevotella corporis,0.0,0.0,0.0,0.002732870283564557,0.0,0.0,0.0029508903631147426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
